                                                                              ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
data.unicef.org ,,                   who.int/nutgrowthdb/estimates,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Child malnutrition estimates,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Definition(s):,Severe Wasting: Percentage of children aged 0–59 months who are below minus three standard deviations from median weight-for-height of the WHO Child Growth Standards.,,,,,,,,,,,,,,,,,,,,,,
,Wasting – Moderate and severe: Percentage of children aged 0–59 months who are below minus two standard deviations from median weight-for-height of the WHO Child Growth Standards.,,,,,,,,,,,,,,,,,,,,,,
,Overweight – Moderate and severe: Percentage of children aged 0-59 months who are above two standard deviations from median weight-for-height of the WHO Child Growth Standards. ,,,,,,,,,,,,,,,,,,,,,,
,Stunting – Moderate and severe: Percentage of children aged 0–59 months who are below minus two standard deviations from median height-for-age of the WHO Child Growth Standards.,,,,,,,,,,,,,,,,,,,,,,
,Underweight – Moderate and severe: Percentage of children aged 0–59 months who are below minus two standard deviations from median weight-for-age of the World Health Organization (WHO) Child Growth Standards.,,,,,,,,,,,,,,,,,,,,,,
Update:,"May, 2018",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ISO code,Country and areas,Survey year,Year*,United Nations,,SDG,UNICEF,World Health Organization,World Bank,,Least Developed Countries (LDCs),Land Locked Developing Countries (LLDC),WHO Global Database Reference Number,Survey sample size (N),Severe wasting,Wasting,Overweight,Stunting,Underweight,Notes,Report Author,Source,Under 5 population (000s)
,,,,Sub-region,Region,Region,Region,Region,Income Group,Region,,and Small Island Developing States (SIDS),,,,,,,,,,,
AFG,AFGHANISTAN,1997,1997,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,EMRO,Low Income,South Asia,Least Developed Countries (LDCs),Landlocked developing countries (LLDCs),01900,4846,,18.2,6.5,53.2,44.9,Converted estimates,Centro de Investigacion de Enfermedades Tropicales (CIET),"Afghanistan 1997 multiple indicator baseline (MICS). Report to UNICEF. Acapulco: Centro de Investigacion de Enfermedades Tropicales (CIET), 1998 (and additional analysis).",3637.632
AFG,AFGHANISTAN,2004,2004,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,EMRO,Low Income,South Asia,Least Developed Countries (LDCs),Landlocked developing countries (LLDCs),02819,946,3.5,8.6,4.6,59.3,32.9,,"Ministry of Public Health (Afghanistan), UNICEF, CDC, National Institute for Research on Food and Nutrition (Italy), Tufts University.","Summary report of the national nutrition survey, 2004. Kabul, Islamic Republic of Afghanistan: Ministry of Public Health and UNICEF, 2005 (and additional analysis).",4667.487
AFG,AFGHANISTAN,2013,2013,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,EMRO,Low Income,South Asia,Least Developed Countries (LDCs),Landlocked developing countries (LLDCs),03292,21922,4,9.5,5.4,40.9,25,(pending reanalysis),"Ministry of Public Health, UNICEF and the Aga Khan University (AKU).",Afghanistan National Nutrition Survey 2013.,5235.867
ALB,ALBANIA,1996-98,1997,Southern Europe,Europe,Northern America and Europe,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,,,01954,7642,,8.1,9.5,20.4,7.1,Converted estimates,"Institute of Public Health, Food and Nutrition Section","National study on nutrition in Albania. Institute of Public Health, Food and Nutrition Section, 1999 (and additional analysis).",307.887
ALB,ALBANIA,2000,2000,Southern Europe,Europe,Northern America and Europe,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,,,02361,1385,6.2,12.2,30,39.2,17,,National Institute of Statistics (Albania) and UNICEF Albania.,"Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family, Institute of Public Health, Faculty of Social Sciences and UNICEF (Albania). Tirana, Albania: UNICEF, 2000 (and additional analysis).",278.753
ALB,ALBANIA,2005,2005,Southern Europe,Europe,Northern America and Europe,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,,,02879,1090,3.7,7.3,25.2,27,6.6,,Albanian National Institute of Statistics.,"Albania multiple indicator cluster survey 2005, final report. Tirana, Albania: Albanian National Institute of Statistics, 2008 (and additional analysis).",219.025
ALB,ALBANIA,2008-09,2009,Southern Europe,Europe,Northern America and Europe,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,,,03062,1490,5.9,9.4,23.4,23.1,6.3,,"Institute of Statistics, Institute of Public Health [Albania] and ICF Macro.","Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana, Albania: Institute of Statistics, Institute of Public Health and ICF Macro, 2010 (and additional analysis).",179.148
DZA,ALGERIA,1987,1987,Northern Africa,Africa,Western Asia and Northern Africa,Middle East and North Africa,AFRO,Upper Middle Income,Middle East & North Africa,,,00371,2344,,4,,16.9,8,Converted estimates,Institut National de Santé Publique,"Etat nutritionnel des enfants algériens de 0 à 10 ans et niveaux d'urbanisation d'après les résultats préliminaires de l'enquête épidémiologique sur la malnutrition protéino-énérgétique en 1987. Institut National de Santé Publique, Algiers; 1987.",3979.162
DZA,ALGERIA,1992,1992,Northern Africa,Africa,Western Asia and Northern Africa,Middle East and North Africa,AFRO,Upper Middle Income,Middle East & North Africa,,,00750,4629,3,7.1,8.7,22.9,9.2,,République Algérienne démocratique et populaire.,"Enquête Algérienne sur la santé de la mère et de l'enfant. Office national des statistiques. PAPCHILD surveys. Cairo: Ligue des Etats Arabes, 1992 (and additional analysis).",3942.777
